timestamp,snr
2026-05-01 12:00:00,4.2
2026-05-01 12:00:00,3.92
2026-05-01 12:00:00,7.08
2026-05-01 12:00:00,4.41
2026-05-01 12:00:00,5.54
2026-05-01 12:00:00,4.6
2026-05-01 12:00:00,5.09
2026-05-01 12:00:00,3.59
2026-05-01 12:00:00,5.26
2026-05-01 12:00:00,4.77
2026-05-01 12:00:00,3.77
2026-05-01 12:00:00,4.85
2026-05-01 12:00:00,4.56
2026-05-01 12:00:00,4.53
2026-05-01 12:00:00,3.34
2026-05-01 12:00:00,6.35
2026-05-01 12:00:00,5.31
2026-05-01 12:00:00,5.27
2026-05-01 12:00:00,4.85
2026-05-01 12:00:00,6.15
2026-05-01 12:00:00,6.46
2026-05-01 12:00:00,3.03
2026-05-01 12:00:00,4.7
2026-05-01 12:00:00,3.72
2026-05-01 12:00:00,4.79
2026-05-01 12:00:00,3.56
2026-05-01 12:00:00,3.92
2026-05-01 12:00:00,4.25
2026-05-01 12:00:00,5.68
2026-05-01 12:00:00,4.87
