timestamp,snr
2026-05-01 12:00:00,7.32
2026-05-01 12:00:00,8.8
2026-05-01 12:00:00,6.73
2026-05-01 12:00:00,6.24
2026-05-01 12:00:00,6.26
2026-05-01 12:00:00,6.72
2026-05-01 12:00:00,9.03
2026-05-01 12:00:00,7.99
2026-05-01 12:00:00,6.6
2026-05-01 12:00:00,6.75
2026-05-01 12:00:00,8.91
2026-05-01 12:00:00,7.44
2026-05-01 12:00:00,4.06
2026-05-01 12:00:00,7.18
2026-05-01 12:00:00,6.95
2026-05-01 12:00:00,6.83
2026-05-01 12:00:00,8.88
2026-05-01 12:00:00,8.5
2026-05-01 12:00:00,6.5
2026-05-01 12:00:00,9.04
2026-05-01 12:00:00,7.9
2026-05-01 12:00:00,6.81
2026-05-01 12:00:00,7.01
2026-05-01 12:00:00,7.34
2026-05-01 12:00:00,7.06
2026-05-01 12:00:00,7.24
2026-05-01 12:00:00,5.43
2026-05-01 12:00:00,7.35
2026-05-01 12:00:00,5.31
2026-05-01 12:00:00,6.9
