timestamp,snr
2026-05-01 12:00:00,4.46
2026-05-01 12:00:00,4.06
2026-05-01 12:00:00,4.14
2026-05-01 12:00:00,4.16
2026-05-01 12:00:00,2.88
2026-05-01 12:00:00,5.03
2026-05-01 12:00:00,3.47
2026-05-01 12:00:00,4.05
2026-05-01 12:00:00,4.26
2026-05-01 12:00:00,2.64
2026-05-01 12:00:00,4.69
2026-05-01 12:00:00,3.13
2026-05-01 12:00:00,1.42
2026-05-01 12:00:00,2.74
2026-05-01 12:00:00,3.77
2026-05-01 12:00:00,4.74
2026-05-01 12:00:00,4.34
2026-05-01 12:00:00,4.56
2026-05-01 12:00:00,5.92
2026-05-01 12:00:00,2.79
2026-05-01 12:00:00,3.99
2026-05-01 12:00:00,3.83
2026-05-01 12:00:00,2.0
2026-05-01 12:00:00,2.46
2026-05-01 12:00:00,4.13
2026-05-01 12:00:00,5.06
2026-05-01 12:00:00,3.61
2026-05-01 12:00:00,4.48
2026-05-01 12:00:00,3.64
2026-05-01 12:00:00,2.93
