timestamp,snr
2026-05-01 12:00:00,-0.53
2026-05-01 12:00:00,1.93
2026-05-01 12:00:00,2.37
2026-05-01 12:00:00,2.72
2026-05-01 12:00:00,3.39
2026-05-01 12:00:00,1.25
2026-05-01 12:00:00,2.83
2026-05-01 12:00:00,1.55
2026-05-01 12:00:00,2.76
2026-05-01 12:00:00,2.5
2026-05-01 12:00:00,2.49
2026-05-01 12:00:00,8.48
2026-05-01 12:00:00,0.26
2026-05-01 12:00:00,3.58
2026-05-01 12:00:00,6.8
2026-05-01 12:00:00,4.12
2026-05-01 12:00:00,0.49
2026-05-01 12:00:00,5.42
2026-05-01 12:00:00,2.36
2026-05-01 12:00:00,3.12
2026-05-01 12:00:00,6.1
2026-05-01 12:00:00,1.49
2026-05-01 12:00:00,1.38
2026-05-01 12:00:00,5.22
2026-05-01 12:00:00,2.1
2026-05-01 12:00:00,4.15
2026-05-01 12:00:00,3.31
2026-05-01 12:00:00,3.65
2026-05-01 12:00:00,0.9
2026-05-01 12:00:00,5.51
2026-05-01 12:00:00,1.61
2026-05-01 12:00:00,-1.13
